smiles,electronic_energy,HOMO_LUMO_gap,dipole_moment,crystal_density,heat_of_formation
CC(=O)C(N)=NC1=C(O)C(=N)C(=N)OC(=O)O1,-904.7654785,3.01912702,1.6235,1.594,-139.598
CC1OC(=O)C1OC1=NC(=N)C(=N)ON=N1,-845.4605025,4.443110048,4.8783,1.58,-16.126
[O-][N+](=O)C1=CN2C=CON2C1=N,-637.3589219,3.433287572,7.4169,1.71,85.435
[O-][N+](=O)C1=NON2C3CC3N=C12,-637.3240841,3.553290728,5.5032,1.66,102.698
NC1=NC(=N)C(=CO1)[N+]([O-])=O,-599.3833544,4.55522184,8.0321,1.746,-9.003
OC1=C(NC(=N)N1C=C)[N+]([O-])=O,-638.6965433,3.459682824,4.6462,1.59,-5.91
CC1OC2CC(OC1C(=O)O2)(C(O)=O)C(O)=O,-950.7814354,6.67908722,4.0265,1.686,-346.36
CC1OCC2COC(=O)OC1(OC=O)C(=O)O2,-950.7434976,6.853513576,5.3927,1.669,-317.834
CC(=O)N1C(=N)OC(=O)C(=O)C(=NC1=N)C#N,-882.4245067,4.007996564,3.4095,1.602,-34.899
CC(O)C(O)C12OC(=O)C(OC1=O)OC(=O)O2,-986.6660257,6.142474468,4.8509,1.762,-369.197
ON1C=C2N=COC2=C1[N+]([O-])=O,-657.2814198,4.122829516,2.5805,1.738,8.625
CC(N=C1NC(=O)C(=O)OC1OC=O)C(N)=O,-925.8918368,4.532908328,5.0407,1.615,-239.955
CC1=C(C(C=O)=NO1)[N+]([O-])=O,-603.1686325,4.910605336,4.1804,1.586,-31.179
CN1C2C(=O)OC(C1=O)C(COC2=O)=NO,-870.4501592,5.539193296,3.6254,1.676,-189.283
CC1(CO)OC(C(=O)C(=O)C(O)=O)C(=O)C1O,-950.7228787,3.9796965,4.5716,1.631,-314.401
CCOC(C(N)=N)C1=C(N=NOC1=N)[N+]([O-])=O,-901.9523747,2.942662424,2.0963,1.516,23.561
NC1=C(O)N=C(N1C=C)[N+]([O-])=O,-638.6824965,3.63546976,6.3914,1.651,-1.729
CC1=C(N=C(O1)[N+]([O-])=O)C1=NC(O)=C(N)N1,-845.5050611,2.76605914,5.159,1.619,-42.628
